UF,Classe,month,seasonal_factor,var
BA,outros,7,0.9288766218928376,6534874164.5
BA,outros,8,0.9683452108626548,7145503512.5
BA,outros,9,0.98798411742107,7687008032.0
BA,outros,10,0.9828771945872732,7567698338.0
BA,outros,11,1.031664450222208,8415974322.0
BA,outros,12,1.0414050250237383,9267458224.5
BA,residencial,1,1.11243849718058,
BA,residencial,2,1.1959301353316725,
BA,residencial,3,1.142491481357884,
BA,residencial,4,1.1340846569024172,
BA,residencial,5,1.1525005286490513,
BA,residencial,6,0.9918470016342772,
BA,residencial,7,0.5014044919390649,192745366320.5
BA,residencial,8,1.005646791864346,
BA,residencial,9,1.0046534783119707,
BA,residencial,10,0.9960706031618556,
BA,residencial,11,1.106226653404264,
BA,residencial,12,1.1553011883235529,
BA,rural,1,0.8103987725844773,16212962592.0
BA,rural,2,0.5039382401052312,5842480704.5
BA,rural,3,1.040900809641683,27767346482.0
BA,rural,4,1.0946795428278986,30188913480.5
BA,rural,5,0.8335597905103693,16744500000.0
BA,rural,6,1.119139032722974,32045499122.0
BA,rural,7,0.99455339648757,25252235912.0
BA,rural,8,1.033977035656167,27675751180.5
BA,rural,9,1.1252042079796811,31857928200.0
BA,rural,10,1.110371174768194,30737369740.5
BA,rural,11,1.2944623554154635,41831624258.0
BA,rural,12,1.0388156413002907,26478757812.5
CE,comercial,1,1.0425698973090471,82504719.67999998
CE,comercial,2,1.0175759875571546,99333103.00500004
CE,comercial,3,0.9481747994902932,97977601.27999993
CE,comercial,4,0.9562036204182596,347050588.8199999
CE,comercial,5,1.006479555505584,243646190.0450001
CE,comercial,6,1.001411063638408,606209236.0199999
CE,comercial,7,0.9687715501086877,367717368.60499984
CE,comercial,8,0.9926106551233042,666055651.8049995
CE,comercial,9,0.9932332658721236,741063401.2799997
CE,comercial,10,1.00514485420883,710780726.4799994
CE,comercial,11,1.046821358968593,869073909.6050003
CE,comercial,12,1.021003391799715,877524292.4450004
CE,industrial,1,0.8596823306035895,12804400378.125
CE,industrial,2,0.9721225954722594,17241167956.820004
CE,industrial,3,0.9245463619421892,16120501770.42
CE,industrial,4,1.015469756174311,21216269635.280003
CE,industrial,5,1.0881379312938644,24144240156.480003
CE,industrial,6,1.0963979958708034,24132858634.58001
CE,industrial,7,0.9869088883451642,18703772073.045
CE,industrial,8,1.0403201558572135,20947360562.000004
CE,industrial,9,1.0448981689828014,22035743305.205
CE,industrial,10,1.033288277549202,21406929304.005
CE,industrial,11,0.9948145800210996,18999066873.605
CE,industrial,12,0.9434129578875028,17306054737.445
CE,outros,1,0.9254015464098776,6672550720.5
CE,outros,2,0.9411211115771876,6886133219.044999
CE,outros,3,0.906248841874263,6702828387.919999
CE,outros,4,0.9829747938595496,7667033514.320002
CE,outros,5,1.009790224978593,8045550045.245001
CE,outros,6,1.0082871589864997,7552143550.125003
CE,outros,7,0.9817443799897592,7087439399.445002
CE,outros,8,0.9415481189613052,5356808121.780001
CE,outros,9,1.0248335369701675,5832723622.445001
CE,outros,10,1.0892098028032458,4783427393.045001
CE,outros,11,1.1189023147859425,5004060824.18
CE,outros,12,1.0699381688036105,4376839716.605
CE,residencial,1,1.937544527964267,
CE,residencial,2,1.7306131241122125,
CE,residencial,3,1.7198104938224317,
CE,residencial,4,0.8305262908019286,110819870133.845
CE,residencial,5,0.9110013001056776,133336907091.045
CE,residencial,6,0.8481789952596238,115558646705.78
CE,residencial,7,0.8373550207787086,112646833365.605
CE,residencial,8,0.8560206041247762,117726114424.82
CE,residencial,9,0.8461832251894315,115036761868.02
CE,residencial,10,0.8799504411569629,124401019280.18
CE,residencial,11,0.9079949443246728,132456192086.48
CE,residencial,12,0.8888051053087614,126915734362.805
CE,rural,1,1.1163356443685215,3992712032.72
CE,rural,2,0.9567517983982812,2780267880.5000005
CE,rural,3,0.8802422422500759,2343221498.8800006
CE,rural,4,0.8175787737296619,1976299589.045
