,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
135,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,AL,Nordeste,"2665,327",23/02/2026
136,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,AM,Norte,6575,23/02/2026
137,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,AP,Norte,85,23/02/2026
138,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,BA,Nordeste,18705,23/02/2026
139,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,CE,Nordeste,"9629,506",23/02/2026
140,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,ES,Sudeste,2034,23/02/2026
141,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,GO,Centro-Oeste,"10201,759",23/02/2026
142,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,MA,Nordeste,"6269,316",23/02/2026
143,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,MG,Sudeste,"32399,501",23/02/2026
144,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,MS,Centro-Oeste,"1960,093",23/02/2026
145,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,MT,Centro-Oeste,"6121,503",23/02/2026
146,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,PA,Norte,"5704,55",23/02/2026
147,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,PB,Nordeste,"1926,858",23/02/2026
148,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,PE,Nordeste,"21183,704",23/02/2026
149,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,PI,Nordeste,"2603,34",23/02/2026
150,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,PR,Sul,"24847,605",23/02/2026
151,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,RJ,Sudeste,"18908,233",23/02/2026
152,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,RN,Nordeste,1794,23/02/2026
153,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,RO,Norte,"971,648",23/02/2026
154,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,RR,Norte,"34,795",23/02/2026
155,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,RS,Sul,"20604,179",23/02/2026
156,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,SC,Sul,"8976,864",23/02/2026
157,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,SE,Nordeste,"3281,515",23/02/2026
158,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,SP,Sudeste,"74549,696",23/02/2026
159,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,TO,Norte,"126,452",23/02/2026
160,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,AL,Nordeste,"43,926",23/02/2026
161,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,BA,Nordeste,175,23/02/2026
162,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,ES,Sudeste,33,23/02/2026
163,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,GO,Centro-Oeste,3,23/02/2026
164,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,MG,Sudeste,"3971,819",23/02/2026
165,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,MS,Centro-Oeste,"0,271",23/02/2026
166,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,PB,Nordeste,"0,24",23/02/2026
167,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,PE,Nordeste,"33,641",23/02/2026
168,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,PR,Sul,"139,277",23/02/2026
169,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,RJ,Sudeste,"149,027",23/02/2026
170,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,RS,Sul,"6821,521",23/02/2026
171,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,SC,Sul,"391,515",23/02/2026
172,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,SE,Nordeste,"4,128",23/02/2026
